App Name,App ID,Final,Running Result,Install Result,Remarks,App Category,Developer,App Version,Updated Date,Crash log,Camera_p
EmpowerÃÂ®,com.participantmobileapp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kikoff - Build Credit Quickly,com.kikoff,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2248: Number Puzzle 2048,com.oakgames.linked2248.numberpuzzle,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Word Chain,com.wordchain,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Barclays US,com.barclaycardus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Yatzy - Fun Classic Dice Game,com.playvalve.yatzy,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ParentSquare,com.parentsquare.psapp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Archero 2,com.xq.archeroii,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
That's My Seat - Logic Puzzle,com.game.thatsmyseat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Sydney Health,com.anthem.sydney,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dot Link - Connect the Dots,com.playvalve.connect.dots,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Connect Word: Association Game,com.hitappsgames.connectwords,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Document Reader & PDF Editor,all.documentreader.filereader.office.viewer,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
My Water Tracker & Reminder,com.water.tracker.remind,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Girl Rescue: Dragon Out!,com.save.princess.girl.dragon.out.and,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Roku Smart Home,com.roku.rokuhome,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Goods SortÃÂ - Sorting Games,closet.match.pair.matching.games,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mini Games: Calm & Relax,com.uc.minigame.relax,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Infinity 8 BallÃÂ Pool King,com.sports.eightball.pool.rival,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
One State RP - Role Play Life,com.Chillgaming.oneState,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Smart Life - Smart Living,com.tuya.smartlife,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bus Out,com.ig.bus.out,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bubble Splash,com.bubble.world.game.splash,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Blood Strike - FPS for all,com.netease.newspike,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Find It - Hidden Object Games,hidden.objects.find.it.out.seek.puzzle.games.free,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Shanghai Tile: Mahjong Match,com.opgames.mahjongtile.gp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Idle Mine Dig: Drill & Collect,tr.com.apps.drill.and.collect,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Belk ÃÂ Shopping App,com.belk.android.belk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Spider Fighter 3: Action Game,com.starplay.spider.fighter.openworld,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kingshot,com.run.tower.defense,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Jack in the BoxÃÂ® - Order Food,com.jackintheboxinc.JackMobileApp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KashKick: Get paid to have fun,com.kashkick.kashkickapp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bluey: Let's Play!,com.budgestudios.googleplay.BlueyBLU,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tile Match Pro,com.gimica.tilematchpro,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Boost Mobile,com.dish.wireless.boostone,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MLB PRO SPIRIT,jp.konami.mps,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Race Master 3D: Car Racing,com.easygames.race,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PDF Reader - Viewer & Editor,com.pdf.read.view.editor.pdfreader.pdfviewer,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Seat Away,com.ozn.busqueuee,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Spades: Classic Card Game,com.newpubco.spades,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Monster Hunter Now,com.nianticlabs.monsterhunter,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PBS KIDS Games App,org.pbskids.gamesapp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Telehealth by SimplePractice,com.simplepractice.video,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Kick: Live Streaming,com.kick.mobile,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Build A Queen,com.Polystation.BuildABabe,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Archery Clash!,archery.clash.tournament,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Water Sort Puz - Color Game,com.playvalve.watersort,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Empower: Advance & Credit,finance.empower,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Color Oasis - Color by Number,com.tapcolor.color.coloring.number.paint.free,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Ball Sort Puz - Color Game,com.playvalve.ballsort,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dreamy Room,com.abi.dream.unpacking,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ALDI USA,de.apptiv.business.android.aldi_us,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Merge Studio: Fashion Makeover,com.paxiegames.mergestudio,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
JustPlay: Earn Money or Donate,com.justplay.app,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Crossword Puzzle Explorer,in.daily_puzzle.crossword,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Avatar: Realms Collide,com.angames.android.google.avatarbendingtheworld,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
PrizePicks - Fantasy Sports,com.myprizepicks.myprizepicks,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Royal Caribbean International,com.rccl.royalcaribbean,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Viki: Asian Dramas & Movies,com.viki.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
School Party Craft,com.candyroom.clubcraft,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Xumo Play: Stream TV & Movies,com.xumo.xumo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Flip: Watch, Create, Shop",com.flipfit,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Mergedom: Home Design & Merge,com.mergedomhomedesign.game,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DeepSeek - AI Assistant,com.deepseek.chat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Good Coffee, Great Coffee",com.tapblaze.coffeebusiness,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Road Trip: Royal merge games,com.vizorapps.roadtrip,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Merlin Bird ID by Cornell Lab,com.labs.merlinbirdid.app,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Tile Club - Match Puzzle Game,com.gamovation.tileclub,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Google Pay: Save and Pay,com.google.android.apps.nbu.paisa.user,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Dominos Game Classic Dominoes,com.fiogonia.dominoes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Spectrum News: Local Stories,com.twcable.twcnews,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Solitaire - Classic Card Games,beetles.puzzle.solitaire,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Carnival HUB,com.carnival.android,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Grok,ai.x.grok,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
U-Haul,com.uhaul.android.myuhaul,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
